id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
188,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
189,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
190,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
191,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
192,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
193,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
194,EPIC 220674823 b,798,8.21 Earths,12.101,2016
195,EPIC 220674823 c,798,8.9 Earths,12.101,2016
196,EPIC 228836835 b,490,1.37 Earths,16.77,2021
197,EPIC 229004835 b,398,10.4 Earths,10.23,2023
198,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
199,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
200,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
201,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
202,EPIC 206215704 b,358,0.972 Earths,17.83,2019
203,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
204,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
205,EPIC 211822797 b,607,4.35 Earths,15.133,2016
206,EPIC 211945201 b,593,27 Earths,10.154,2018
207,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
208,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
209,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
210,EPIC 212499991 b,924,3.19 Earths,13.672,2019
211,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
212,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
213,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
214,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
215,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
216,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
217,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
218,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
219,EPIC 220674823 b,798,8.21 Earths,12.101,2016
220,EPIC 220674823 c,798,8.9 Earths,12.101,2016
221,EPIC 228836835 b,490,1.37 Earths,16.77,2021
222,EPIC 229004835 b,398,10.4 Earths,10.23,2023
223,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
224,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
225,EPIC 206042996 b,1474,3.53 Earths,16.59,2019
226,EPIC 206042996 c,1474,1.87 Earths,16.59,2021
227,EPIC 206215704 b,358,0.972 Earths,17.83,2019
228,EPIC 206317286 b,1025,0.84 Earths,14.005,2019
229,EPIC 206317286 c,1025,5.03 Earths,14.005,2022
230,EPIC 211822797 b,607,4.35 Earths,15.133,2016
231,EPIC 211945201 b,593,27 Earths,10.154,2018
232,EPIC 212297394 b,1365,2.79 Earths,14.611,2019
233,EPIC 212297394 c,1365,5.77 Earths,14.611,2016
234,EPIC 212424622 b,1996,5.35 Earths,13.441,2019
235,EPIC 212499991 b,924,3.19 Earths,13.672,2019
236,EPIC 212587672 b,1044,2.13 Earths,12.488,2019
237,EPIC 212587672 c,1044,5.99 Earths,12.488,2016
238,EPIC 212624936 b,1833,1.87 Earths,13.976,2021
239,EPIC 212624936 c,1833,5.9 Earths,13.976,2021
240,EPIC 212737443 b,1097,7.2 Earths,14.81,2019
241,EPIC 212737443 c,1097,7.7 Earths,14.81,2019
242,EPIC 220492298 b,2037,0.937 Earths,13.991,2021
243,EPIC 220554210 c,1619,3.19 Earths,14.21,2019
244,EPIC 220674823 b,798,8.21 Earths,12.101,2016
245,EPIC 220674823 c,798,8.9 Earths,12.101,2016
246,EPIC 228836835 b,490,1.37 Earths,16.77,2021
247,EPIC 229004835 b,398,10.4 Earths,10.23,2023
248,EPIC 246851721 b,1216,3 Jupiters,11.237,2018
249,EPIC 248847494 b,1800,13 Jupiters,12.353,2018
